name,MEFs,ESCs,log2FC,threshold
Tdh,0,228.138490901821,7.840076014060573,TRUE
Dnmt3l,0.0332808785523339,130.533668343444,6.992055841760112,TRUE
Upp1,0.247334278505054,107.641272985556,6.444580328036771,TRUE
Krt8,0.243291519389499,98.7299900985968,6.325790891460186,TRUE
Gsta4,4.26437137719546,266.732267224499,5.66838594538277,TRUE
Krt42,0,36.0697903721253,5.2121720516967,TRUE
Krt17,0.031554061293232,19.0379824076013,4.279845916657851,TRUE
Rpl10l,0,17.6622510701611,4.222051111724647,TRUE
Tuba4a,6.06993295371316,105.707277709631,3.9158182311979783,TRUE
Msh6,11.4190543122142,173.678840431515,3.8140776349158085,TRUE
Parp1,21.7752657608236,251.946391119208,3.4732918620132316,TRUE
Hmgb2,33.709749404175,369.765930677605,3.4170958277887133,TRUE
D1Pas1,0,9.03062967707273,3.3263402694791298,TRUE
Lmnb1,26.6017034611686,225.15792798687,3.034501358722406,TRUE
Trim28,79.7118473045189,648.733052094444,3.0089947368972734,TRUE
H2afx,25.924702376422,206.468195771816,2.9458878902225876,TRUE
Fkbp4,63.2532384674554,490.154139986689,2.9343347843442946,TRUE
Hsp90aa1,289.380618481404,2037.11985664554,2.8112218265646867,TRUE
Ruvbl2,34.1859714170163,208.367890425883,2.572967952506632,TRUE
Rfc4,11.6946106103685,68.4575429472405,2.4519152334599736,TRUE
Tcof1,14.7938933349032,81.7966760658348,2.390205998648281,TRUE
H2afz,234.38169656743,1217.62449382623,2.3721795983532843,TRUE
Lama1,1.58266417228456,12.2328529812523,2.357192172866864,TRUE
Cdc5l,23.5836250104983,124.892095019103,2.3564181256124344,TRUE
Ncl,81.104855325759,411.211062838187,2.327843779779641,TRUE
Pcna,88.0592606235538,421.111106859453,2.2447852513324085,TRUE
Helb,4.01101853291621,21.3677062309799,2.158241539536785,TRUE
Ddx39,42.0286822517892,185.314491038461,2.1143693238579657,TRUE
Npm1,695.44856800284,3007.48939616773,2.1109505514452427,TRUE
Ppih,6.0064155776658,28.8974038508024,2.093271745420414,TRUE
Fen1,11.6915500975939,51.3845590957284,2.0452733395441176,TRUE
Mybbp1a,56.0754914602453,232.825053058638,2.0344862326916284,TRUE
Ppif,8.55329765644916,36.9111909348225,1.988553056633384,TRUE
Psip1,25.2168453036198,102.812593917933,1.985415473040976,TRUE
Ddx21,38.746958674482,154.099714044022,1.9642796477274704,TRUE
Paics,72.514596915062,283.446009940593,1.9520522015855857,TRUE
Fbl,74.029905849344,274.715253270074,1.8776414301203335,TRUE
Sf3b3,45.0654913326177,162.004711324629,1.8231553573138892,TRUE
Hspa8,752.71448122159,2642.71509309125,1.8104766926428673,TRUE
Nop58,72.3325738643832,255.672950038773,1.8074051809640483,TRUE
Bag4,4.02954775998386,16.2256417030664,1.7760571396437117,TRUE
Tbl3,15.6938411060534,55.9830987231976,1.771218132763345,TRUE
Cse1l,35.914605755893,124.49321300581,1.7653456857642735,TRUE
Hsp90ab1,582.02060530092,1948.32123412878,1.7413530783312778,TRUE
Hspb1,111.193523400882,370.516139216585,1.7274354891073145,TRUE
Acacb,0.524352106607651,4.0384028993184,1.7247703066226692,TRUE
Hspd1,212.877486184485,700.645019756998,1.7139566934266999,TRUE
G3bp1,78.7598969389632,257.275191072775,1.695173619657894,TRUE
Ppid,55.1148335941744,180.134566357011,1.6906077921348497,TRUE
Hist1h2af,3.02657833869973,11.788927780622,1.667269007233472,TRUE
Pycr2,28.6404958923947,91.4368119218741,1.6408979186959243,TRUE
Phb2,91.0443019387861,278.76234979301,1.6038015002552752,TRUE
Ran,171.182808357361,521.455130320577,1.6013660368403049,TRUE
Eftud2,34.8451976703863,107.462492427573,1.5973444752845125,TRUE
Nop56,83.021355638643,247.585474793244,1.56491403188664,TRUE
Ddx39b,78.3001047805109,232.045277996592,1.5552156037391145,TRUE
Srsf7,49.4177665094963,146.445611973687,1.5481787741867603,TRUE
Hnrnpl,101.317025188745,289.8340089343,1.5071497575768737,TRUE
Srsf3,92.3865434695143,253.930249019964,1.4488159830963627,TRUE
Pcbp1,124.243541700166,339.476607211614,1.4428194684002509,TRUE
Naa25,16.5586637093949,46.5729073899768,1.437957143755625,TRUE
Srsf4,20.0082279416273,55.4762648314271,1.4266902014660927,TRUE
Ptges3,87.9078605318797,235.63410243901,1.4122751206158262,TRUE
Hnrnpu,154.53052071333,412.158925762991,1.4094991185728163,TRUE
Rfc2,24.7830030413352,66.5078852964948,1.3886357173195492,TRUE
Pabpc1,284.470948292898,738.802764568114,1.373796758300798,TRUE
Prdx1,341.907655587883,881.499330190354,1.3637750698567797,TRUE
H2afv,16.2035890937805,42.580991898792,1.3409894542529317,TRUE
Hnrnpab,157.064399927665,396.653807469082,1.3310005114290657,TRUE
Ubb,430.191435760686,1068.16729051445,1.3100871774282599,TRUE
Mat2a,93.2148104124801,232.217027095709,1.3076473510032156,TRUE
Fubp1,26.7035576561921,67.3596136050133,1.3030729851039666,TRUE
Mak16,39.2298113990639,97.4438842614633,1.2910366082709321,TRUE
Ptbp1,135.746839462895,329.328146268587,1.272392413199927,TRUE
Rpl4,1016.79759344596,2456.93532433658,1.2719962693492344,TRUE
Ppia,1554.61437314401,3754.94557093264,1.271691686642763,TRUE
Hnrnpm,94.3385487986832,228.891829538296,1.2698236222996389,TRUE
Eif5a,271.647348444446,654.203292825211,1.264906482485426,TRUE
Park7,77.1849177132304,186.255836557054,1.2600484506588447,TRUE
Ddx3x,107.690260994942,255.402953131651,1.2381902024191584,TRUE
